DESC_PROVINCIA;CENTRO_EXAMEN;CODIGO_AUTOESCUELA;NOMBRE_AUTOESCUELA;CODIGO_SECCION;MES;ANYO;TIPO_EXAMEN;NOMBRE_PERMISO;NUM_APTOS;NUM_APTOS_1conv;NUM_APTOS_2conv;NUM_APTOS_3o4conv;NUM_APTOS_5_o_mas_conv;NUM_NO_APTOS
Albacete;Albacete;AB0198;ALARCON;01;8 ;2018;PRUEBA TEÓRICA;B  ;12;11;1;0;0;1
Albacete;Albacete;AB0198;ALARCON;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;8;3;1;4;0;4
Albacete;Albacete;AB0220;ALBA;01;8 ;2018;PRUEBA DESTREZA;EC ;1;0;0;1;0;2
Albacete;Albacete;AB0220;ALBA;01;8 ;2018;PRUEBA DESTREZA;A2 ;2;1;1;0;0;0
Albacete;Albacete;AB0220;ALBA;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;2;0;0;2;0;8
Albacete;Albacete;AB0220;ALBA;01;8 ;2018;PRUEBA TEÓRICA;B  ;14;14;0;0;0;2
Albacete;Albacete;AB0220;ALBA;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;EC ;3;3;0;0;0;0
Albacete;Albacete;AB0220;ALBA;02;8 ;2018;PRUEBA TEÓRICA;B  ;5;4;0;1;0;5
Albacete;Albacete;AB0220;ALBA;02;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;4;1;2;1;0;8
Albacete;Albacete;AB0220;ALBA;02;8 ;2018;PRUEBA ESPECÍFICO;EC ;1;1;0;0;0;0
Albacete;Albacete;AB0220;ALBA;02;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;EC ;1;1;0;0;0;0
Albacete;Albacete;AB0220;ALBA;02;8 ;2018;PRUEBA DESTREZA;EC ;1;0;1;0;0;0
Albacete;Albacete;AB0063;ALMIRO;01;8 ;2018;PRUEBA DESTREZA;D  ;1;0;1;0;0;0
Albacete;Albacete;AB0063;ALMIRO;01;8 ;2018;PRUEBA ESPECÍFICO;C  ;0;0;0;0;0;1
Albacete;Albacete;AB0063;ALMIRO;01;8 ;2018;PRUEBA DESTREZA;C  ;1;1;0;0;0;0
Albacete;Albacete;AB0063;ALMIRO;01;8 ;2018;PRUEBA TEÓRICA;B  ;19;15;3;1;0;2
Albacete;Albacete;AB0063;ALMIRO;01;8 ;2018;PRUEBA ESPECÍFICO;EB ;1;1;0;0;0;0
Albacete;Albacete;AB0063;ALMIRO;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;10;3;3;2;2;6
Albacete;Albacete;AB0063;ALMIRO;01;8 ;2018;PRUEBA ESPECÍFICO;EC ;1;1;0;0;0;0
Albacete;Albacete;AB0063;ALMIRO;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;C  ;1;1;0;0;0;0
Albacete;Albacete;AB0063;ALMIRO;05;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;2;1;0;1;0;1
Albacete;Albacete;AB0063;ALMIRO;05;8 ;2018;PRUEBA TEÓRICA;A1 ;3;3;0;0;0;1
Albacete;Albacete;AB0063;ALMIRO;05;8 ;2018;PRUEBA TEÓRICA;B  ;6;4;1;0;1;4
Albacete;Albacete;AB0063;ALMIRO;05;8 ;2018;PRUEBA DESTREZA;A1 ;1;1;0;0;0;0
Albacete;Albacete;AB0063;ALMIRO;05;8 ;2018;PRUEBA ESPECÍFICO;A1 ;3;3;0;0;0;1
Albacete;Albacete;AB0063;ALMIRO;05;8 ;2018;PRUEBA DESTREZA;AM ;3;3;0;0;0;0
Albacete;Albacete;AB0063;ALMIRO;05;8 ;2018;PRUEBA ESPECÍFICO;A2 ;3;2;1;0;0;1
Albacete;Albacete;AB0063;ALMIRO;05;8 ;2018;PRUEBA ESPECÍFICO;AM ;4;4;0;0;0;0
Albacete;Albacete;AB0063;ALMIRO;05;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;A2 ;3;3;0;0;0;0
Albacete;Albacete;AB0063;ALMIRO;05;8 ;2018;PRUEBA DESTREZA;A2 ;2;1;1;0;0;1
Albacete;Albacete;AB0203;APTO TRAINING;01;8 ;2018;PRUEBA ESPECÍFICO;A2 ;4;4;0;0;0;0
Albacete;Albacete;AB0203;APTO TRAINING;01;8 ;2018;PRUEBA TEÓRICA;B  ;31;28;3;0;0;6
Albacete;Albacete;AB0203;APTO TRAINING;01;8 ;2018;PRUEBA DESTREZA;A2 ;2;2;0;0;0;0
Albacete;Albacete;AB0203;APTO TRAINING;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;A2 ;3;1;2;0;0;2
Albacete;Albacete;AB0203;APTO TRAINING;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;13;3;5;4;1;7
Albacete;Albacete;AB0205;ATZ DRIVING;01;8 ;2018;PRUEBA TEÓRICA;B  ;10;10;0;0;0;0
Albacete;Albacete;AB0205;ATZ DRIVING;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;6;1;2;2;1;7
Albacete;Albacete;AB0230;AUTOESCUELA CARNEBOK COM;01;8 ;2018;PRUEBA TEÓRICA;B  ;3;1;2;0;0;2
Albacete;Albacete;AB0230;AUTOESCUELA CARNEBOK COM;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;5;1;0;1;3;4
Albacete;Albacete;AB0210;AUTOESCUELA GP;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;7;3;1;2;1;7
Albacete;Albacete;AB0210;AUTOESCUELA GP;01;8 ;2018;PRUEBA TEÓRICA;B  ;20;19;0;1;0;1
Albacete;Albacete;AB0210;AUTOESCUELA GP;01;8 ;2018;PRUEBA DESTREZA;A2 ;0;0;0;0;0;2
Albacete;Albacete;AB0210;AUTOESCUELA GP;01;8 ;2018;PRUEBA ESPECÍFICO;A2 ;2;1;0;1;0;0
Albacete;Albacete;AB0202;AUTOESCUELA LOS LLANOS;01;8 ;2018;PRUEBA ESPECÍFICO;A2 ;2;2;0;0;0;0
Albacete;Albacete;AB0202;AUTOESCUELA LOS LLANOS;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;A2 ;1;0;0;1;0;1
Albacete;Albacete;AB0202;AUTOESCUELA LOS LLANOS;01;8 ;2018;PRUEBA TEÓRICA;B  ;9;8;1;0;0;4
Albacete;Albacete;AB0202;AUTOESCUELA LOS LLANOS;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;2;2;0;0;0;2
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;8 ;2018;PRUEBA DESTREZA;A2 ;1;1;0;0;0;0
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;8 ;2018;PRUEBA TEÓRICA;B  ;13;11;2;0;0;6
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;8 ;2018;PRUEBA ESPECÍFICO;AM ;2;2;0;0;0;0
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;6;2;3;1;0;2
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;A2 ;1;1;0;0;0;0
Albacete;Albacete;AB0140;AVENIDA JESUS Y FRANCISCO SL;01;8 ;2018;PRUEBA TEÓRICA;B  ;10;9;1;0;0;0
Albacete;Albacete;AB0140;AVENIDA JESUS Y FRANCISCO SL;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;6;4;1;1;0;1
Albacete;Albacete;AB0140;AVENIDA JESUS Y FRANCISCO SL;01;8 ;2018;PRUEBA ESPECÍFICO;A2 ;1;1;0;0;0;0
Albacete;Albacete;AB0214;BIANCO;01;8 ;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;7;3;2;2;0;9
Albacete;Albacete;AB0214;BIANCO;01;8 ;2018;PRUEBA TEÓRICA;B  ;15;13;2;0;0;4
